[3259] Genel Hata: invalid color argument
[2357] Genel Hata: 'NoneType' object is not subscriptable
[2413] Genel Hata: 'NoneType' object is not subscriptable
[23677] Genel Hata: invalid color argument
[24260] Genel Hata: invalid color argument
[23081] Genel Hata: invalid color argument
[20294] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[17604] Genel Hata: 'username'
[23502] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[18521] Genel Hata: 'username'
[152563] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[152730] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[152901] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[153100] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[153284] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[153685] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[153869] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[154051] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[154206] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[154374] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[159428] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[159913] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[160268] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[160537] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[160921] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[161104] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[161256] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[161441] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[161608] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[161775] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[161925] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[162089] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[162273] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[162454] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[162636] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[162820] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[162988] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[163175] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[163342] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[163489] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[163673] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[163860] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[164041] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
